photo_id|owner_id|page_id|camera|camera_type|filename|data
39705415562|136260302@N04|325|Fujifilm X-T1|Fujifilm|136260302@N04_Fujifilm_44c07372.json|"{""id"": ""39705415562"", ""owner"": ""136260302@N04"", ""title"": ""KAZE5262"", ""realname"": ""phạm nhật minh"", ""ownername"": ""minhnam_phi19090"", ""datetaken"": ""2018-01-14 13:45:58"", ""max_width"": 4896, ""max_height"": 3264, ""url_max"": ""https://live.staticflickr.com/4613/39705415562_9f63891702_o.jpg"", ""max_width_2000"": 1600, ""max_height_2000"": 1067, ""url_max_2000"": ""https://live.staticflickr.com/4613/39705415562_18c4858252_h.jpg"", ""flickr_page"": ""https://www.flickr.com/photos/136260302@N04/39705415562"", ""camera"": ""Fujifilm X-T1"", ""create_date"": ""2018:01:14 13:45:58"", ""lens_model"": ""XF18-55mmF2.8-4 R LM OIS"", ""iso"": ""400"", ""exposure_time"": ""1/640"", ""exposure_program"": ""Manual"", ""exposure_compensation"": ""0"", ""aperture"": ""3.6"", ""focal_length"": ""35.8 mm"", ""focal_length_in35mm"": ""54 mm"", ""white_balance"": ""Manual"", ""metering_mode"": ""Multi-segment"", ""flash"": ""Fired"", ""pageid"": ""325""}"
39028116744|136260302@N04|325|Fujifilm X-T1|Fujifilm|136260302@N04_Fujifilm_44c07372.json|"{""id"": ""39028116744"", ""owner"": ""136260302@N04"", ""title"": ""KAZE5261"", ""realname"": ""phạm nhật minh"", ""ownername"": ""minhnam_phi19090"", ""datetaken"": ""2018-01-14 13:45:27"", ""max_width"": 4896, ""max_height"": 3264, ""url_max"": ""https://live.staticflickr.com/4766/39028116744_d9b86989bc_o.jpg"", ""max_width_2000"": 1600, ""max_height_2000"": 1067, ""url_max_2000"": ""https://live.staticflickr.com/4766/39028116744_186fa76bc8_h.jpg"", ""flickr_page"": ""https://www.flickr.com/photos/136260302@N04/39028116744"", ""camera"": ""Fujifilm X-T1"", ""create_date"": ""2018:01:14 13:45:27"", ""lens_model"": ""XF18-55mmF2.8-4 R LM OIS"", ""iso"": ""400"", ""exposure_time"": ""1/640"", ""exposure_program"": ""Manual"", ""exposure_compensation"": ""0"", ""aperture"": ""3.6"", ""focal_length"": ""35.8 mm"", ""focal_length_in35mm"": ""54 mm"", ""white_balance"": ""Manual"", ""metering_mode"": ""Multi-segment"", ""flash"": ""Fired"", ""pageid"": ""325""}"
39028117244|136260302@N04|325|Fujifilm X-T1|Fujifilm|136260302@N04_Fujifilm_44c07372.json|"{""id"": ""39028117244"", ""owner"": ""136260302@N04"", ""title"": ""KAZE5260"", ""realname"": ""phạm nhật minh"", ""ownername"": ""minhnam_phi19090"", ""datetaken"": ""2018-01-14 13:45:21"", ""max_width"": 4896, ""max_height"": 3264, ""url_max"": ""https://live.staticflickr.com/4651/39028117244_7738d9ff14_o.jpg"", ""max_width_2000"": 1600, ""max_height_2000"": 1067, ""url_max_2000"": ""https://live.staticflickr.com/4651/39028117244_d86d40d50f_h.jpg"", ""flickr_page"": ""https://www.flickr.com/photos/136260302@N04/39028117244"", ""camera"": ""Fujifilm X-T1"", ""create_date"": ""2018:01:14 13:45:21"", ""lens_model"": ""XF18-55mmF2.8-4 R LM OIS"", ""iso"": ""400"", ""exposure_time"": ""1/640"", ""exposure_program"": ""Manual"", ""exposure_compensation"": ""0"", ""aperture"": ""3.6"", ""focal_length"": ""35.8 mm"", ""focal_length_in35mm"": ""54 mm"", ""white_balance"": ""Manual"", ""metering_mode"": ""Multi-segment"", ""flash"": ""No Flash"", ""pageid"": ""325""}"
39028117774|136260302@N04|325|Fujifilm X-T1|Fujifilm|136260302@N04_Fujifilm_44c07372.json|"{""id"": ""39028117774"", ""owner"": ""136260302@N04"", ""title"": ""KAZE5259"", ""realname"": ""phạm nhật minh"", ""ownername"": ""minhnam_phi19090"", ""datetaken"": ""2018-01-14 13:45:18"", ""max_width"": 4896, ""max_height"": 3264, ""url_max"": ""https://live.staticflickr.com/4716/39028117774_f878d3b794_o.jpg"", ""max_width_2000"": 1600, ""max_height_2000"": 1067, ""url_max_2000"": ""https://live.staticflickr.com/4716/39028117774_48a8372c78_h.jpg"", ""flickr_page"": ""https://www.flickr.com/photos/136260302@N04/39028117774"", ""camera"": ""Fujifilm X-T1"", ""create_date"": ""2018:01:14 13:45:18"", ""lens_model"": ""XF18-55mmF2.8-4 R LM OIS"", ""iso"": ""400"", ""exposure_time"": ""1/640"", ""exposure_program"": ""Manual"", ""exposure_compensation"": ""0"", ""aperture"": ""3.6"", ""focal_length"": ""37.4 mm"", ""focal_length_in35mm"": ""56 mm"", ""white_balance"": ""Manual"", ""metering_mode"": ""Multi-segment"", ""flash"": ""No Flash"", ""pageid"": ""325""}"
24867762267|136260302@N04|325|Fujifilm X-T1|Fujifilm|136260302@N04_Fujifilm_44c07372.json|"{""id"": ""24867762267"", ""owner"": ""136260302@N04"", ""title"": ""KAZE5258"", ""realname"": ""phạm nhật minh"", ""ownername"": ""minhnam_phi19090"", ""datetaken"": ""2018-01-14 13:45:09"", ""max_width"": 4896, ""max_height"": 3264, ""url_max"": ""https://live.staticflickr.com/4703/24867762267_59c59700bb_o.jpg"", ""max_width_2000"": 1600, ""max_height_2000"": 1067, ""url_max_2000"": ""https://live.staticflickr.com/4703/24867762267_55b652d20b_h.jpg"", ""flickr_page"": ""https://www.flickr.com/photos/136260302@N04/24867762267"", ""camera"": ""Fujifilm X-T1"", ""create_date"": ""2018:01:14 13:45:09"", ""lens_model"": ""XF18-55mmF2.8-4 R LM OIS"", ""iso"": ""400"", ""exposure_time"": ""1/640"", ""exposure_program"": ""Manual"", ""exposure_compensation"": ""0"", ""aperture"": ""3.6"", ""focal_length"": ""37.4 mm"", ""focal_length_in35mm"": ""56 mm"", ""white_balance"": ""Manual"", ""metering_mode"": ""Multi-segment"", ""flash"": ""Fired"", ""pageid"": ""325""}"
39028119604|136260302@N04|326|Fujifilm X-T1|Fujifilm|136260302@N04_Fujifilm_44c07372.json|"{""id"": ""39028119604"", ""owner"": ""136260302@N04"", ""title"": ""KAZE5255"", ""realname"": ""phạm nhật minh"", ""ownername"": ""minhnam_phi19090"", ""datetaken"": ""2018-01-14 13:43:39"", ""max_width"": 3264, ""max_height"": 4896, ""url_max"": ""https://live.staticflickr.com/4720/39028119604_14f143c43e_o.jpg"", ""max_width_2000"": 1365, ""max_height_2000"": 2048, ""url_max_2000"": ""https://live.staticflickr.com/4720/39028119604_ba407bc3da_k.jpg"", ""flickr_page"": ""https://www.flickr.com/photos/136260302@N04/39028119604"", ""camera"": ""Fujifilm X-T1"", ""create_date"": ""2018:01:14 13:43:39"", ""lens_model"": ""XF18-55mmF2.8-4 R LM OIS"", ""iso"": ""400"", ""exposure_time"": ""1/640"", ""exposure_program"": ""Manual"", ""exposure_compensation"": ""0"", ""aperture"": ""3.6"", ""focal_length"": ""35.8 mm"", ""focal_length_in35mm"": ""54 mm"", ""white_balance"": ""Manual"", ""metering_mode"": ""Multi-segment"", ""flash"": ""No Flash"", ""pageid"": ""326""}"
39028119984|136260302@N04|326|Fujifilm X-T1|Fujifilm|136260302@N04_Fujifilm_44c07372.json|"{""id"": ""39028119984"", ""owner"": ""136260302@N04"", ""title"": ""KAZE5254"", ""realname"": ""phạm nhật minh"", ""ownername"": ""minhnam_phi19090"", ""datetaken"": ""2018-01-14 13:43:36"", ""max_width"": 3264, ""max_height"": 4896, ""url_max"": ""https://live.staticflickr.com/4708/39028119984_bc9eb2b8e3_o.jpg"", ""max_width_2000"": 1365, ""max_height_2000"": 2048, ""url_max_2000"": ""https://live.staticflickr.com/4708/39028119984_4018f16cef_k.jpg"", ""flickr_page"": ""https://www.flickr.com/photos/136260302@N04/39028119984"", ""camera"": ""Fujifilm X-T1"", ""create_date"": ""2018:01:14 13:43:36"", ""lens_model"": ""XF18-55mmF2.8-4 R LM OIS"", ""iso"": ""400"", ""exposure_time"": ""1/640"", ""exposure_program"": ""Manual"", ""exposure_compensation"": ""0"", ""aperture"": ""3.6"", ""focal_length"": ""35.8 mm"", ""focal_length_in35mm"": ""54 mm"", ""white_balance"": ""Manual"", ""metering_mode"": ""Multi-segment"", ""flash"": ""No Flash"", ""pageid"": ""326""}"
39028119134|136260302@N04|326|Fujifilm X-T1|Fujifilm|136260302@N04_Fujifilm_44c07372.json|"{""id"": ""39028119134"", ""owner"": ""136260302@N04"", ""title"": ""KAZE5256"", ""realname"": ""phạm nhật minh"", ""ownername"": ""minhnam_phi19090"", ""datetaken"": ""2018-01-14 13:43:47"", ""max_width"": 3264, ""max_height"": 4896, ""url_max"": ""https://live.staticflickr.com/4765/39028119134_183b294330_o.jpg"", ""max_width_2000"": 1365, ""max_height_2000"": 2048, ""url_max_2000"": ""https://live.staticflickr.com/4765/39028119134_c354476ebc_k.jpg"", ""flickr_page"": ""https://www.flickr.com/photos/136260302@N04/39028119134"", ""camera"": ""Fujifilm X-T1"", ""create_date"": ""2018:01:14 13:43:47"", ""lens_model"": ""XF18-55mmF2.8-4 R LM OIS"", ""iso"": ""400"", ""exposure_time"": ""1/640"", ""exposure_program"": ""Manual"", ""exposure_compensation"": ""0"", ""aperture"": ""3.6"", ""focal_length"": ""35.8 mm"", ""focal_length_in35mm"": ""54 mm"", ""white_balance"": ""Manual"", ""metering_mode"": ""Multi-segment"", ""flash"": ""No Flash"", ""pageid"": ""326""}"
39028118504|136260302@N04|326|Fujifilm X-T1|Fujifilm|136260302@N04_Fujifilm_44c07372.json|"{""id"": ""39028118504"", ""owner"": ""136260302@N04"", ""title"": ""KAZE5257"", ""realname"": ""phạm nhật minh"", ""ownername"": ""minhnam_phi19090"", ""datetaken"": ""2018-01-14 13:45:01"", ""max_width"": 4896, ""max_height"": 3264, ""url_max"": ""https://live.staticflickr.com/4658/39028118504_3d6ea6c827_o.jpg"", ""max_width_2000"": 1600, ""max_height_2000"": 1067, ""url_max_2000"": ""https://live.staticflickr.com/4658/39028118504_6a088949b0_h.jpg"", ""flickr_page"": ""https://www.flickr.com/photos/136260302@N04/39028118504"", ""camera"": ""Fujifilm X-T1"", ""create_date"": ""2018:01:14 13:45:01"", ""lens_model"": ""XF18-55mmF2.8-4 R LM OIS"", ""iso"": ""400"", ""exposure_time"": ""1/640"", ""exposure_program"": ""Manual"", ""exposure_compensation"": ""0"", ""aperture"": ""3.6"", ""focal_length"": ""37.4 mm"", ""focal_length_in35mm"": ""56 mm"", ""white_balance"": ""Manual"", ""metering_mode"": ""Multi-segment"", ""flash"": ""Fired"", ""pageid"": ""326""}"
39737222961|136260302@N04|326|Fujifilm X-T1|Fujifilm|136260302@N04_Fujifilm_44c07372.json|"{""id"": ""39737222961"", ""owner"": ""136260302@N04"", ""title"": ""KAZE5249"", ""realname"": ""phạm nhật minh"", ""ownername"": ""minhnam_phi19090"", ""datetaken"": ""2018-01-14 13:41:50"", ""max_width"": 3264, ""max_height"": 4896, ""url_max"": ""https://live.staticflickr.com/4676/39737222961_2392350875_o.jpg"", ""max_width_2000"": 1365, ""max_height_2000"": 2048, ""url_max_2000"": ""https://live.staticflickr.com/4676/39737222961_1d9de2dbc4_k.jpg"", ""flickr_page"": ""https://www.flickr.com/photos/136260302@N04/39737222961"", ""camera"": ""Fujifilm X-T1"", ""create_date"": ""2018:01:14 13:41:50"", ""lens_model"": ""XF18-55mmF2.8-4 R LM OIS"", ""iso"": ""400"", ""exposure_time"": ""1/640"", ""exposure_program"": ""Manual"", ""exposure_compensation"": ""0"", ""aperture"": ""3.6"", ""focal_length"": ""35.8 mm"", ""focal_length_in35mm"": ""54 mm"", ""white_balance"": ""Manual"", ""metering_mode"": ""Multi-segment"", ""flash"": ""No Flash"", ""pageid"": ""326""}"
